117284	1127766
117784	1123939
118284	1120113
118784	1116289
119284	1112464
119784	1108641
120284	1104819
120784	1100998
121284	1097178
121784	1093358
122284	1089538
122784	1085719
123284	1081903
123784	1078086
124284	1074269
124784	1070454
125284	1066638
125784	1062823
126284	1059009
126784	1055196
127284	1051383
127784	1047569
128284	1043759
128784	1039949
129284	1036140
129784	1032332
130284	1028522
130784	1024714
131284	1020907
131784	1017100
132284	1013294
132784	1009490
133284	1005685
133784	1001882
134284	998079
134784	994276
135284	990475
135784	986674
136284	982874
136784	979076
137284	975279
137784	971481
138284	967686
138739	964228
139239	960433
139739	956638
140239	952844
140739	949050
141239	945257
141739	941465
142239	937673
142739	933882
143239	930092
143739	926302
144239	922514
144739	918726
145239	914939
145739	911152
146239	907366
146739	903581
147239	899797
147739	896013
148239	892230
148739	888448
149239	884667
149739	880886
150239	877105
150739	873326
151239	869547
151739	865769
152239	861991
152739	858215
153239	854439
153739	850664
154239	846891
154739	843117
155239	839345
155739	835574
156239	831802
156739	828031
157239	824261
157739	820492
158239	816723
158739	812956
159239	809190
159739	805424
160239	801658
160739	797894
161239	794130
161739	790366
162239	786603
162739	782840
163239	779078
163739	775316
164239	771556
164739	767796
165239	764037
165739	760279
166239	756520
166739	752763
167239	749007
167739	745252
168239	741502
168628	738588
169128	734834
169628	731082
170128	727329
170628	723578
171128	719827
171628	716077
172128	712327
172628	708578
173128	704830
173628	701083
174128	697336
174628	693589
175128	689844
175628	686099
176128	682355
176628	678613
177128	674872
177628	671130
178128	667388
178628	663647
179128	659907
179628	656167
180128	652428
180628	648690
181128	644952
181628	641215
182128	637479
182628	633744
183128	630008
183628	626274
184128	622540
184628	618807
185128	615075
185628	611343
186128	607612
186628	603882
187128	600153
187628	596424
188128	592697
188628	588970
189128	585244
189628	581517
190128	577791
190628	574066
191128	570342
191628	566618
192128	562895
192628	559172
193128	555451
193628	551730
194128	548009
194628	544290
195128	540571
195628	536854
196128	533137
196628	529422
197128	525706
197628	521990
198128	518275
198628	514562
199128	510849
199628	507136
200128	503424
200628	499714
201128	496003
201628	492293
202128	488583
202628	484874
203128	481166
203628	477460
204128	473752
204628	470046
205128	466340
205628	462635
206128	458930
206628	455227
207128	451524
207628	447822
208128	444121
208628	440420
209128	436720
209628	433021
210128	429324
210628	425626
211128	421929
211628	418232
212128	414536
212628	410841
213128	407146
213628	403452
214128	399760
214628	396068
215128	392375
215628	388683
216128	384992
216628	381302
217128	377612
217628	373922
218128	370234
218628	366547
219128	362859
219628	359174
220128	355489
220628	351804
221128	348120
221628	344437
222128	340754
222628	337072
223128	333392
223628	329712
224128	326031
224628	322351
225128	318673
225628	314995
226128	311318
226628	307641
227128	303965
227628	300289
228128	296615
228628	292942
229128	289268
229628	285595
230128	281923
230628	278252
231128	274581
231628	270912
232128	267242
232628	263572
233128	259904
233628	256236
234128	252568
234628	248902
235128	245236
235628	241571
236128	237906
236628	234242
237128	230579
237628	226916
238128	223254
238628	219593
239128	215933
239628	212273
240128	208617
240550	205535
241050	201876
241550	198218
242050	194561
242550	190905
243050	187250
243550	183594
244050	179940
244550	176287
245050	172634
245550	168981
246050	165330
246550	161679
247050	158028
247550	154379
248050	150729
248550	147081
249050	143432
249550	139785
250050	136138
250550	132491
251050	128846
251550	125201
252050	121557
252550	117914
253050	114271
253550	110629
254050	106986
254550	103347
255050	99709
255550	96070
256050	92431
256550	88793
257050	85156
257550	81519
258050	77882
258550	74247
259050	70612
259550	66976
260050	63342
260550	59708
261050	56075
261550	52442
262050	48812
262550	45182
263050	41551
263550	37921
264050	34292
264550	30663
265050	27035
265550	23407
266050	19780
266550	16154
267050	12529
267550	8903
268050	5279
268550	1655
